time,Illumination(lux),year,month,day,hour
20190116:0410,0.0,2019,01,16,04
20190116:0510,0.0,2019,01,16,05
20190116:0610,0.0,2019,01,16,06
20190116:0710,0.0,2019,01,16,07
20190116:0810,66528.0,2019,01,16,08
20190116:0910,87501.59999999999,2019,01,16,09
20190116:1010,99139.2,2019,01,16,10
20190116:1110,103123.2,2019,01,16,11
20190116:1210,104920.8,2019,01,16,12
20190116:1310,98163.59999999999,2019,01,16,13
20190116:1410,87656.40000000001,2019,01,16,14
20190116:1510,72280.8,2019,01,16,15
20190116:1610,0.0,2019,01,16,16
20190116:1710,0.0,2019,01,16,17
20190116:1810,0.0,2019,01,16,18
20190116:1910,0.0,2019,01,16,19
20190116:2010,0.0,2019,01,16,20
20190116:2110,0.0,2019,01,16,21
20190116:2210,0.0,2019,01,16,22
20190116:2310,0.0,2019,01,16,23
20190117:0010,0.0,2019,01,17,00
20190117:0110,0.0,2019,01,17,01
20190117:0210,0.0,2019,01,17,02
20190117:0310,0.0,2019,01,17,03
20190117:0410,0.0,2019,01,17,04
20190117:0510,0.0,2019,01,17,05
20190117:0610,0.0,2019,01,17,06
20190117:0710,0.0,2019,01,17,07
20190117:0810,31097.999999999996,2019,01,17,08
20190117:0910,17448.0,2019,01,17,09
20190117:1010,75396.0,2019,01,17,10
20190117:1110,81939.6,2019,01,17,11
20190117:1210,106495.20000000001,2019,01,17,12
20190117:1310,95998.8,2019,01,17,13
20190117:1410,87044.4,2019,01,17,14
20190117:1510,75091.2,2019,01,17,15
20190117:1610,0.0,2019,01,17,16
20190117:1710,0.0,2019,01,17,17
20190117:1810,0.0,2019,01,17,18
20190117:1910,0.0,2019,01,17,19
20190117:2010,0.0,2019,01,17,20
20190117:2110,0.0,2019,01,17,21
20190117:2210,0.0,2019,01,17,22
20190117:2310,0.0,2019,01,17,23
20190118:0010,0.0,2019,01,18,00
20190118:0110,0.0,2019,01,18,01
20190118:0210,0.0,2019,01,18,02
20190118:0310,0.0,2019,01,18,03
20190118:0410,0.0,2019,01,18,04
20190118:0510,0.0,2019,01,18,05
20190118:0610,0.0,2019,01,18,06
20190118:0710,0.0,2019,01,18,07
20190118:0810,44667.600000000006,2019,01,18,08
20190118:0910,81600.0,2019,01,18,09
20190118:1010,94233.59999999999,2019,01,18,10
20190118:1110,103746.0,2019,01,18,11
20190118:1210,89096.40000000001,2019,01,18,12
20190118:1310,78913.2,2019,01,18,13
20190118:1410,72229.2,2019,01,18,14
20190118:1510,74150.4,2019,01,18,15
20190118:1610,0.0,2019,01,18,16
20190118:1710,0.0,2019,01,18,17
20190118:1810,0.0,2019,01,18,18
20190118:1910,0.0,2019,01,18,19
20190118:2010,0.0,2019,01,18,20
20190118:2110,0.0,2019,01,18,21
20190118:2210,0.0,2019,01,18,22
20190118:2310,0.0,2019,01,18,23
20190119:0010,0.0,2019,01,19,00
20190119:0110,0.0,2019,01,19,01
20190119:0210,0.0,2019,01,19,02
20190119:0310,0.0,2019,01,19,03
20190119:0410,0.0,2019,01,19,04
20190119:0510,0.0,2019,01,19,05
20190119:0610,0.0,2019,01,19,06
20190119:0710,0.0,2019,01,19,07
20190119:0810,0.0,2019,01,19,08
20190119:0910,4496.4,2019,01,19,09
20190119:1010,320.4,2019,01,19,10
20190119:1110,0.0,2019,01,19,11
20190119:1210,578.4000000000001,2019,01,19,12
20190119:1310,321.6,2019,01,19,13
20190119:1410,0.0,2019,01,19,14
20190119:1510,4224.0,2019,01,19,15
20190119:1610,0.0,2019,01,19,16
20190119:1710,0.0,2019,01,19,17
20190119:1810,0.0,2019,01,19,18
20190119:1910,0.0,2019,01,19,19
20190119:2010,0.0,2019,01,19,20
20190119:2110,0.0,2019,01,19,21
20190119:2210,0.0,2019,01,19,22
20190119:2310,0.0,2019,01,19,23
20190120:0010,0.0,2019,01,20,00
20190120:0110,0.0,2019,01,20,01
20190120:0210,0.0,2019,01,20,02
20190120:0310,0.0,2019,01,20,03
20190120:0410,0.0,2019,01,20,04
20190120:0510,0.0,2019,01,20,05
20190120:0610,0.0,2019,01,20,06
20190120:0710,0.0,2019,01,20,07
20190120:0810,51651.6,2019,01,20,08
20190120:0910,85095.6,2019,01,20,09
20190120:1010,92546.40000000001,2019,01,20,10
20190120:1110,90795.6,2019,01,20,11
20190120:1210,92592.0,2019,01,20,12
20190120:1310,99498.0,2019,01,20,13
20190120:1410,89246.40000000001,2019,01,20,14
20190120:1510,71626.8,2019,01,20,15
20190120:1610,0.0,2019,01,20,16
20190120:1710,0.0,2019,01,20,17
20190120:1810,0.0,2019,01,20,18
20190120:1910,0.0,2019,01,20,19
20190120:2010,0.0,2019,01,20,20
20190120:2110,0.0,2019,01,20,21
20190120:2210,0.0,2019,01,20,22
20190120:2310,0.0,2019,01,20,23
20190121:0010,0.0,2019,01,21,00
20190121:0110,0.0,2019,01,21,01
20190121:0210,0.0,2019,01,21,02
20190121:0310,0.0,2019,01,21,03
20190121:0410,0.0,2019,01,21,04
20190121:0510,0.0,2019,01,21,05
20190121:0610,0.0,2019,01,21,06
20190121:0710,0.0,2019,01,21,07
20190121:0810,65683.2,2019,01,21,08
20190121:0910,88764.0,2019,01,21,09
20190121:1010,98156.40000000001,2019,01,21,10
20190121:1110,102340.8,2019,01,21,11
20190121:1210,102091.2,2019,01,21,12
20190121:1310,97950.0,2019,01,21,13
20190121:1410,88162.8,2019,01,21,14
20190121:1510,72097.2,2019,01,21,15
20190121:1610,0.0,2019,01,21,16
20190121:1710,0.0,2019,01,21,17
20190121:1810,0.0,2019,01,21,18
20190121:1910,0.0,2019,01,21,19
20190121:2010,0.0,2019,01,21,20
20190121:2110,0.0,2019,01,21,21
20190121:2210,0.0,2019,01,21,22
20190121:2310,0.0,2019,01,21,23
20190122:0010,0.0,2019,01,22,00
20190122:0110,0.0,2019,01,22,01
20190122:0210,0.0,2019,01,22,02
20190122:0310,0.0,2019,01,22,03
20190122:0410,0.0,2019,01,22,04
20190122:0510,0.0,2019,01,22,05
20190122:0610,0.0,2019,01,22,06
20190122:0710,0.0,2019,01,22,07
20190122:0810,71358.0,2019,01,22,08
20190122:0910,90349.2,2019,01,22,09
20190122:1010,99898.8,2019,01,22,10
20190122:1110,102124.79999999999,2019,01,22,11
20190122:1210,101828.40000000001,2019,01,22,12
20190122:1310,99854.4,2019,01,22,13
20190122:1410,91857.6,2019,01,22,14
20190122:1510,73186.8,2019,01,22,15
20190122:1610,0.0,2019,01,22,16
20190122:1710,0.0,2019,01,22,17
20190122:1810,0.0,2019,01,22,18
20190122:1910,0.0,2019,01,22,19
20190122:2010,0.0,2019,01,22,20
20190122:2110,0.0,2019,01,22,21
20190122:2210,0.0,2019,01,22,22
20190122:2310,0.0,2019,01,22,23
20190123:0010,0.0,2019,01,23,00
20190123:0110,0.0,2019,01,23,01
20190123:0210,0.0,2019,01,23,02
20190123:0310,0.0,2019,01,23,03
20190123:0410,0.0,2019,01,23,04
20190123:0510,0.0,2019,01,23,05
20190123:0610,0.0,2019,01,23,06
20190123:0710,0.0,2019,01,23,07
20190123:0810,22788.0,2019,01,23,08
20190123:0910,11434.800000000001,2019,01,23,09
20190123:1010,4659.599999999999,2019,01,23,10
20190123:1110,1680.0,2019,01,23,11
20190123:1210,0.0,2019,01,23,12
20190123:1310,13023.6,2019,01,23,13
20190123:1410,392.4,2019,01,23,14
20190123:1510,0.0,2019,01,23,15
20190123:1610,0.0,2019,01,23,16
20190123:1710,0.0,2019,01,23,17
20190123:1810,0.0,2019,01,23,18
20190123:1910,0.0,2019,01,23,19
20190123:2010,0.0,2019,01,23,20
20190123:2110,0.0,2019,01,23,21
20190123:2210,0.0,2019,01,23,22
20190123:2310,0.0,2019,01,23,23
20190124:0010,0.0,2019,01,24,00
20190124:0110,0.0,2019,01,24,01
20190124:0210,0.0,2019,01,24,02
